                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0725,                 3.8702,                 1.3661,                0.00966,                0.32224,                0.15552,                 0.1399,                0.08769,                   1.22,                 2.5303,                 1.4261,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2565,                 3.1482,                 1.5042,                0.00945,                0.33342,                0.28169,                0.23915,                0.13543,                 1.4305,                 2.4955,                 1.6625,                      0,               0.039388,              0.0060019,              0.0060019
                      2,                 1.3935,                 3.0899,                 1.6088,                0.00934,                0.22647,                0.21427,                0.13926,                0.06995,                 1.6661,                 3.1242,                 1.8451,                      0,               0.008069,              0.0080157,              0.0080157
                      3,                 1.5325,                 3.2472,                 1.7488,                0.00922,                0.25541,                0.25696,                 0.1864,                0.09357,                 1.6519,                 2.6506,                 1.8286,                      0,                0.00703,                0.00703,                0.00703
                      4,                 1.5332,                 3.1315,                 1.7628,                0.00919,                0.27366,                0.29946,                0.20733,                0.11004,                 1.5779,                 2.4695,                 1.7794,                      0,                0.00703,                0.00703,                0.00703
                      5,                 1.4948,                 2.9513,                 1.7244,                0.00914,                 0.3417,                0.33221,                0.27089,                0.14638,                 1.5302,                  2.286,                 1.7167,                      0,                0.00604,                0.00604,                0.00604
                      6,                 1.4231,                 2.7458,                 1.6508,                  0.009,                0.39257,                0.33093,                 0.3051,                0.16658,                 1.4919,                 2.3088,                 1.6763,                      0,                0.00505,                0.00505,                0.00505
                      7,                 1.3615,                 2.5791,                 1.6075,                 0.0091,                0.42663,                0.38092,                0.35892,                0.20257,                 1.4218,                 2.0734,                 1.6089,                      0,                0.00406,                0.00406,                0.00406
                      8,                 1.2847,                 2.3663,                 1.5275,                 0.0089,                0.48268,                0.42817,                0.42248,                 0.2537,                 1.3158,                 1.9163,                  1.508,                      0,                0.00307,                0.00307,                0.00307
                      9,                 1.2134,                 2.2286,                 1.4759,                0.00886,                0.51444,                0.46195,                0.46291,                0.28026,                 1.2744,                 1.8243,                 1.4786,                      0,                0.00208,                0.00208,                0.00208
