                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.0441,                 1.4164,                 1.3276,                0.00892,                0.63858,                0.55593,                0.59766,                0.38885,                 1.2013,                 1.4045,                 1.4292,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0254,                  1.373,                 1.3154,                0.00897,                0.64961,                0.56014,                0.60702,                0.39499,                 1.2139,                  1.412,                 1.4331,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0159,                 1.3347,                 1.3045,                 0.0089,                 0.6607,                 0.5765,                0.62795,                0.41233,                 1.1859,                 1.3181,                 1.4125,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0242,                 1.3255,                 1.3021,                0.00877,                 0.6656,                0.56374,                0.61152,                0.39856,                 1.1902,                 1.3455,                 1.4094,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0061,                 1.3031,                 1.2926,                0.00873,                0.67309,                0.57712,                0.62369,                0.41167,                 1.1732,                 1.3289,                 1.3926,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.99435,                 1.2917,                 1.2807,                 0.0087,                0.66138,                0.59717,                0.62078,                0.40917,                 1.1782,                 1.3366,                  1.397,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.99029,                 1.2543,                 1.2665,                0.00859,                0.66054,                0.58534,                0.63072,                0.41977,                 1.1718,                 1.3063,                 1.3958,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.97157,                 1.2186,                 1.2621,                0.00863,                0.69209,                0.59189,                0.64558,                0.42688,                  1.164,                 1.2901,                 1.3809,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.97436,                 1.2319,                 1.2678,                0.00856,                0.66155,                 0.6044,                0.64149,                0.42579,                 1.1534,                 1.2762,                 1.3798,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.93386,                  1.119,                 1.2489,                0.00691,                0.65941,                0.58299,                 0.6307,                0.41618,                 1.1578,                 1.3163,                 1.3915,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.90566,                 1.0643,                 1.2347,                0.00686,                0.67898,                 0.5946,                0.64027,                0.42741,                 1.1585,                 1.2865,                 1.3894,                      0,                0.00208,                0.00208,                0.00208
                     42,                 0.8927,                  1.035,                 1.2169,                0.00674,                0.67398,                0.59493,                0.63538,                0.42477,                 1.1488,                 1.2983,                 1.3798,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.87942,                   1.01,                 1.2004,                0.00665,                0.68598,                0.60002,                0.65211,                0.43647,                 1.1512,                 1.2754,                 1.3825,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.86598,                0.97211,                  1.205,                0.00673,                0.65958,                0.60801,                0.64225,                0.42775,                 1.1626,                 1.2838,                 1.3951,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.86839,                 0.9606,                 1.2022,                0.00669,                0.69009,                0.58894,                0.64884,                0.43307,                 1.1504,                 1.2814,                 1.3826,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.84878,                0.94337,                 1.1896,                0.00667,                0.67868,                0.61416,                0.65296,                0.43519,                   1.15,                 1.2582,                 1.3828,                      0,                0.00109,                0.00109,                0.00109
                     47,                  0.831,                0.90294,                 1.1744,                0.00663,                0.70393,                0.59828,                 0.6578,                  0.445,                 1.1385,                 1.2415,                 1.3756,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.82544,                0.89326,                 1.1715,                0.00669,                0.68129,                0.60714,                 0.6562,                0.44418,                 1.1375,                 1.2388,                 1.3725,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.81647,                0.87831,                 1.1651,                0.00662,                0.70269,                0.61412,                0.66585,                0.45306,                 1.1323,                 1.2181,                 1.3681,                      0,               0.000496,               0.000496,               0.000496
