                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.0465,                 1.4138,                 1.3221,                0.00949,                0.66754,                0.55708,                0.60859,                0.39681,                 1.1808,                 1.3915,                  1.399,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0308,                 1.3635,                 1.3124,                 0.0095,                0.65906,                0.56934,                0.61788,                 0.4023,                 1.1892,                 1.3761,                  1.414,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0127,                 1.3348,                  1.302,                0.00956,                0.67364,                0.57645,                0.61918,                0.40702,                 1.1704,                 1.3427,                 1.3995,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0208,                 1.3222,                 1.3014,                0.00938,                0.64749,                0.57769,                0.61135,                0.39311,                 1.1909,                 1.3717,                 1.4099,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0009,                 1.3023,                 1.2885,                0.00936,                0.66926,                 0.5697,                0.61944,                0.40736,                 1.1792,                   1.33,                 1.3949,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.99788,                 1.2971,                  1.284,                0.00939,                 0.6513,                0.58599,                0.62402,                0.40963,                 1.1782,                 1.3299,                 1.3951,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.98657,                 1.2459,                 1.2665,                0.00932,                0.66387,                0.57308,                0.62438,                0.41578,                 1.1627,                 1.3244,                 1.3823,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.98106,                 1.2381,                 1.2695,                0.00936,                0.64893,                 0.5919,                0.63263,                0.41611,                 1.1759,                 1.3187,                 1.3986,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.97633,                 1.2293,                 1.2725,                0.00925,                0.67872,                0.59583,                0.64395,                0.43042,                 1.1411,                 1.2794,                 1.3667,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.92568,                 1.1254,                  1.245,                0.00716,                0.63996,                0.58193,                0.61909,                0.41416,                 1.1624,                 1.3298,                 1.4024,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.91343,                 1.0682,                 1.2403,                0.00718,                0.67434,                0.59717,                0.63528,                0.42584,                 1.1516,                 1.2985,                  1.387,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.89583,                 1.0378,                 1.2216,                0.00707,                 0.6486,                0.59919,                0.62533,                0.42094,                 1.1554,                 1.3046,                 1.3904,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.87263,                 1.0136,                 1.1981,                0.00704,                0.66377,                0.59866,                0.63848,                0.42834,                 1.1558,                 1.2831,                 1.3857,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.86263,                0.98294,                 1.2041,                 0.0071,                0.67066,                0.59513,                0.64344,                0.43357,                 1.1438,                 1.2738,                 1.3786,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.86346,                0.96401,                 1.1989,                0.00705,                0.70266,                0.58545,                0.64123,                0.43163,                  1.154,                  1.282,                 1.3907,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.84585,                0.94459,                 1.1913,                0.00707,                0.69349,                0.59217,                0.64788,                0.43683,                 1.1528,                 1.2704,                 1.3875,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.82992,                0.91646,                 1.1755,                0.00695,                0.70067,                0.59502,                0.65448,                0.44272,                 1.1345,                 1.2505,                 1.3713,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.83204,                0.90163,                 1.1791,                0.00708,                0.68622,                0.60418,                0.64865,                0.44001,                 1.1317,                  1.256,                 1.3702,                      0,               0.000694,               0.000694,               0.000694
                     49,                 0.8158,                0.87879,                 1.1621,                0.00701,                0.69606,                0.61042,                0.65832,                0.44656,                 1.1359,                 1.2356,                 1.3725,                      0,               0.000496,               0.000496,               0.000496
