                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0392,                 3.3544,                 1.2963,                0.02313,                0.52755,                0.28901,                0.31621,                0.21073,                 1.0967,                  2.151,                 1.3269,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.1871,                 2.5562,                 1.4002,                0.02224,                0.38005,                0.31235,                0.26873,                0.14319,                 1.5147,                 2.6449,                 1.7817,                      0,               0.039916,              0.0065294,              0.0065294
                      2,                 1.2851,                 2.5339,                 1.4718,                0.02172,                0.33346,                0.32798,                0.26597,                0.14269,                  1.619,                 2.8434,                 1.8819,                      0,              0.0096521,              0.0095989,              0.0095989
                      3,                 1.4002,                 2.6662,                 1.5637,                0.02142,                0.29779,                0.33488,                 0.2474,                 0.1264,                 1.6206,                 2.5094,                 1.7753,                      0,               0.009406,               0.009406,               0.009406
                      4,                  1.396,                 2.6393,                 1.5823,                0.02115,                0.33582,                0.29947,                0.23744,                0.12408,                 1.6326,                 2.5406,                 1.8904,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.3961,                 2.5584,                 1.5855,                0.02074,                0.41097,                0.35084,                 0.3232,                0.17892,                 1.4737,                 2.4102,                 1.7165,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.3735,                 2.4964,                   1.58,                0.02045,                0.42747,                0.33016,                0.31182,                0.16472,                 1.5394,                 2.2951,                  1.748,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.3507,                 2.3835,                 1.5655,                0.02015,                0.34438,                0.35518,                0.28832,                0.15087,                 1.6504,                 2.4654,                 1.8089,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.3195,                 2.3107,                  1.542,                0.01998,                0.41369,                 0.4035,                0.35152,                0.19673,                 1.3988,                 2.1805,                  1.619,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.3109,                 2.2359,                 1.5242,                0.01965,                0.45064,                0.41117,                0.37979,                0.21539,                  1.399,                 2.1294,                 1.6296,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.2912,                 2.1618,                 1.5105,                 0.0197,                 0.4864,                0.44241,                0.43155,                0.25337,                 1.3638,                 1.9351,                 1.5861,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.2657,                 2.0889,                 1.5039,                0.01939,                0.50886,                0.42655,                 0.4364,                0.25297,                 1.3771,                 1.9021,                 1.5882,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.2575,                 2.0485,                 1.4834,                0.01909,                0.47812,                0.48601,                0.45597,                0.27226,                  1.334,                 1.8637,                 1.5484,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.2441,                 2.0007,                 1.4719,                0.01876,                0.51068,                0.46063,                0.46937,                0.28377,                  1.322,                 1.7892,                 1.5687,                      0,               0.007624,               0.007624,               0.007624
                     14,                  1.224,                 1.9121,                 1.4597,                0.01847,                0.50998,                0.47098,                0.47378,                0.28222,                 1.3422,                 1.7736,                 1.5531,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.2151,                 1.8988,                 1.4481,                0.01815,                0.52985,                0.47382,                 0.4739,                0.28338,                 1.3217,                 1.7628,                 1.5324,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.1821,                 1.8244,                 1.4238,                0.01786,                0.53367,                0.47348,                0.48433,                0.29417,                 1.3085,                 1.7523,                 1.5243,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.1917,                 1.7843,                 1.4273,                0.01746,                0.52595,                0.47538,                0.47677,                0.28775,                 1.3114,                 1.7411,                 1.5407,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.1727,                 1.7736,                 1.4213,                0.01725,                0.60084,                0.50275,                0.53442,                0.33011,                 1.2907,                 1.6125,                 1.5159,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.1648,                 1.7054,                 1.4128,                0.01718,                0.56325,                0.50564,                0.52357,                0.32676,                 1.2658,                   1.59,                 1.4929,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.1745,                 1.7035,                 1.4138,                0.01694,                0.56858,                0.49661,                0.51362,                0.31664,                 1.2697,                 1.6043,                  1.479,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.1145,                 1.6352,                 1.3788,                0.01671,                 0.6062,                0.51118,                0.55019,                0.34452,                 1.2523,                 1.5412,                 1.4791,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.1368,                 1.6106,                 1.3859,                0.01651,                0.63282,                0.51849,                0.57103,                0.36417,                 1.2364,                 1.4894,                 1.4545,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.1224,                 1.6043,                 1.3752,                0.01627,                 0.6202,                0.53347,                0.56584,                0.35426,                 1.2469,                 1.5178,                 1.4653,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.0965,                 1.5572,                 1.3541,                0.01624,                0.58956,                0.55717,                0.57349,                0.36132,                 1.2479,                 1.5113,                 1.4639,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.0987,                 1.5435,                  1.364,                0.01589,                0.59699,                0.56912,                0.58185,                 0.3667,                 1.2318,                 1.4596,                 1.4477,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.0914,                 1.4902,                 1.3476,                0.01581,                0.64566,                0.53883,                0.58364,                0.37363,                 1.2214,                 1.4727,                 1.4447,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.0789,                 1.4769,                 1.3454,                0.01575,                0.63594,                0.56558,                 0.5986,                0.38674,                 1.1948,                 1.4334,                 1.4163,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.0668,                 1.4519,                 1.3361,                0.01564,                0.65855,                0.55388,                0.60259,                0.39004,                 1.2042,                 1.4172,                 1.4255,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.0531,                 1.4323,                 1.3297,                0.01561,                0.64712,                0.54885,                0.59163,                0.37893,                 1.2193,                 1.4287,                 1.4353,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.0478,                 1.3997,                 1.3076,                0.01551,                0.66906,                0.56175,                0.61328,                0.39803,                 1.1919,                 1.3896,                 1.4198,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.0469,                 1.4025,                 1.3255,                0.01543,                0.65249,                0.56787,                0.61532,                0.40139,                 1.1873,                 1.3748,                 1.4192,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0282,                 1.3583,                 1.3127,                0.01538,                0.63407,                0.58637,                0.61764,                0.39899,                  1.224,                 1.3901,                  1.444,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0168,                 1.3279,                 1.3045,                 0.0153,                0.67283,                0.58119,                0.63027,                0.41541,                 1.1815,                 1.3377,                 1.4026,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0195,                  1.316,                 1.2979,                0.01506,                0.65096,                 0.5789,                0.61576,                0.39902,                 1.1955,                 1.3515,                 1.4182,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0001,                 1.3042,                 1.2873,                0.01506,                0.64379,                0.60554,                0.63463,                0.41362,                 1.1765,                  1.345,                 1.3954,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.99307,                 1.2968,                 1.2831,                0.01507,                0.67135,                0.58751,                0.63299,                0.41339,                 1.1843,                 1.3341,                 1.4032,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.99467,                 1.2533,                 1.2697,                0.01484,                0.67985,                0.58723,                0.64265,                 0.4262,                 1.1653,                 1.2994,                 1.3863,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.97327,                 1.2216,                 1.2628,                0.01498,                0.67104,                0.59622,                0.64627,                0.42437,                 1.1792,                 1.2968,                 1.3975,                      0,               0.002674,               0.002674,               0.002674
                     39,                0.97432,                  1.214,                 1.2657,                0.01488,                0.68155,                0.59547,                0.64426,                0.42998,                 1.1447,                 1.2956,                   1.37,                      0,               0.002476,               0.002476,               0.002476
                     40,                0.92326,                 1.1206,                 1.2384,                0.01239,                0.63079,                0.57525,                0.60838,                0.40078,                 1.1824,                  1.389,                 1.4169,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.91208,                 1.0689,                 1.2362,                0.01209,                0.69233,                  0.573,                0.63253,                0.41899,                 1.1595,                 1.3043,                 1.3943,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.89042,                 1.0117,                 1.2166,                0.01184,                0.66412,                0.60319,                0.64397,                0.43018,                 1.1528,                 1.2922,                 1.3839,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.86981,                0.99915,                 1.1965,                0.01173,                0.69829,                 0.5917,                0.65359,                0.43676,                 1.1497,                 1.2754,                 1.3849,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.86574,                0.96988,                 1.2047,                0.01178,                0.71196,                0.58035,                0.64513,                0.42837,                 1.1519,                 1.2795,                 1.3856,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.86014,                0.95186,                 1.1997,                0.01167,                0.70469,                0.59761,                0.65354,                0.43492,                 1.1482,                 1.2694,                 1.3816,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.83313,                0.92776,                 1.1798,                0.01162,                0.71262,                0.58679,                0.65049,                 0.4329,                 1.1457,                 1.2817,                  1.383,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.82292,                0.90251,                 1.1741,                0.01151,                0.71182,                0.58599,                0.65753,                0.44231,                 1.1417,                 1.2613,                 1.3797,                      0,               0.000892,               0.000892,               0.000892
                     48,                0.81753,                0.89283,                 1.1686,                0.01163,                0.69145,                0.60548,                0.65502,                0.44195,                 1.1327,                 1.2405,                 1.3741,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.81126,                0.87498,                 1.1637,                0.01151,                0.70812,                0.60227,                0.66206,                0.44896,                 1.1347,                 1.2349,                 1.3734,                      0,               0.000496,               0.000496,               0.000496
